category,description,link,datatype
OUT_OF_BED,The user is out of their bed in the middle of a sleep session.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/SleepStages#OUT_OF_BED,SleepStagesDataTypes
SLEEP,The user is sleeping.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/SleepStages#SLEEP,SleepStagesDataTypes
SLEEP_DEEP,The user is in a deep sleep cycle.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/SleepStages#SLEEP_DEEP,SleepStagesDataTypes
SLEEP_LIGHT,The user is in a light sleep cycle.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/SleepStages#SLEEP_LIGHT,SleepStagesDataTypes
SLEEP_REM,The user is in a REM sleep cycle.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/SleepStages#SLEEP_REM,SleepStagesDataTypes
AEROBICS,The user is performing aerobic exercises.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ARCHERY,"The user is doing archery, using a bow to shoot an arrow.",https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BADMINTON,The user is playing badminton.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BASEBALL,The user is playing baseball.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BASKETBALL,The user is playing basketball.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BIATHLON,The user is practicing biathlon (combination of cross-country skiing and rifle shooting).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BIKING,The user is on a bicycle.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BIKING_HAND,The user is handcycling (or handbiking).,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BIKING_MOUNTAIN,The user is mountain biking.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BIKING_ROAD,The user is cycling on a road or other smooth surface.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BIKING_SPINNING,The user is indoor cycling (spinning) on a specialized stationary bike.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BIKING_STATIONARY,The user is cycling on a stationary bike.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BIKING_UTILITY,The user is cycling as a means of transport.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
BOXING,The user is boxing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
CALISTHENICS,The user is performing calisthenics exercises.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
CIRCUIT_TRAINING,The user is performing circuit training exercises.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
